"Titel"	"Opmerking"
"|BAZ"	"afkorting - JS"
"|ALAY"	"afkorting - JS"
"|COC"	"afkorting - JS"
"|NIVA"	"afkorting - JS"
"|SAR"	"afkorting - JS"
"|ONG"	"afkorting - JS"
"|PLA"	"afkorting - JS"
"|ELO"	"afkorting - JS"
"|SIZ"	"afkorting - JS"
"|POSS"	"afkorting - JS"
"|ONK"	"afkorting - JS"
"|VO"	"afkorting - JS"
"|SERT"	"afkorting - JS"
"|BEC"	"afkorting - JS"
"|WEH"	"afkorting - JS"
"|SOC"	"afkorting - JS"
"|PIO"	"afkorting - JS"
"|BARIM"	"afkorting - JS"
"|AKA"	"afkorting - JS"
"|OLL"	"afkorting - JS"
"|SUR"	"afkorting - JS"
"|A.O."	"afkorting - JS"
"|ABAS"	"afkorting - JS"
"|URE"	"afkorting - JS"
"|BAMMER"	"afkorting - JS"
"|SIM"	"afkorting - JS"
"|WAIS"	"afkorting - JS"
"|O.A."	"afkorting - JS"
"|BATT"	"afkorting - JS"
"|c.c."	"afkorting - JS"
"|BICA"	"afkorting - JS"
"|Ari"	"afkorting - JS"
"|DIL"	"afkorting - JS"
"|ESIM"	"afkorting - JS"
"|VONA"	"afkorting - JS"
"|POA"	"afkorting - JS"
"|STEA"	"afkorting - JS"
"|SABO"	"afkorting - JS"
"|V. O."	"afkorting - JS"
"|KIT"	"afkorting - JS"
"|ARH"	"afkorting - JS"
"|GAK"	"afkorting - JS"
"|S.v."	"afkorting - JS"
"|LALO"	"afkorting - JS"
"|MOR"	"afkorting - JS"
"|BOAZ"	"afkorting - JS"
"|TRCO"	"afkorting - JS"
"|ATO"	"afkorting (Agrotechnologisch Onderzoek ) - JS"
"|BIK"	"afkorting (buitengerechtelijke incassokosten) - JS"
"|HIR"	"afkorting (herinvesteringsreserve) -JS"
"|WERZ"	"afkorting (komt maar 1 keer voor) - JS"
"|YER"	"afkorting die vaak voorkomt - JS"
"|DELIC"	"afkorting gebruikt in strafzaken -JS"
"|HAN"	"afkorting Hanze hogeschool -JS"
"|GOG"	"afkorting -JS"
"|BOVA"	"afkorting -JS"
"|MUT"	"afkorting -JS"
"|BUZA"	"afkorting -JS"
"|ACAT"	"afkorting -JS"
